Cultivars,Alcohol,Malic acid,Alcalinity of ash,Magnesium
1,13.75,1.73,16,89
1,14.75,1.73,11.4,91
1,14.38,1.87,12,102
1,13.63,1.81,17.2,112
1,14.3,1.92,20,120
1,13.83,1.57,20,115
1,14.19,1.59,16.5,108
1,13.64,3.1,15.2,116
1,14.06,1.63,16,126
1,12.93,3.8,18.6,102
1,13.71,1.86,16.6,101
1,12.85,1.6,17.8,95
1,13.5,1.81,20,96
1,13.05,2.05,25,124
1,13.39,1.77,16.1,93
1,13.3,1.72,17,94
1,13.87,1.9,19.4,107
1,14.02,1.68,16,96
1,13.73,1.5,22.5,101
1,13.58,1.66,19.1,106
1,13.68,1.83,17.2,104
1,13.76,1.53,19.5,132
1,13.51,1.8,19,110
1,13.48,1.81,20.5,100
1,13.28,1.64,15.5,110
1,13.05,1.65,18,98
1,13.07,1.5,15.5,98
1,14.22,3.99,13.2,128
1,13.56,1.71,16.2,117
1,13.41,3.84,18.8,90
1,13.88,1.89,15,101
1,13.24,3.98,17.5,103
1,13.05,1.77,17,107
1,14.21,4.04,18.9,111
1,14.38,3.59,16,102
1,13.9,1.68,16,101
1,14.1,2.02,18.8,103
1,13.94,1.73,17.4,108
1,13.05,1.73,12.4,92
1,13.83,1.65,17.2,94
1,13.82,1.75,14,111
1,13.77,1.9,17.1,115
1,13.74,1.67,16.4,118
1,13.56,1.73,20.5,116
1,14.22,1.7,16.3,118
1,13.29,1.97,16.8,102
1,13.72,1.43,16.7,108
2,12.37,0.94,10.6,88
2,12.33,1.1,16,101
2,12.64,1.36,16.8,100
2,13.67,1.25,18,94
2,12.37,1.13,19,87
2,12.17,1.45,19,104
2,12.37,1.21,18.1,98
2,13.11,1.01,15,78
2,12.37,1.17,19.6,78
2,13.34,0.94,17,110
2,12.21,1.19,16.8,151
2,12.29,1.61,20.4,103
2,13.86,1.51,25,86
2,13.49,1.66,24,87
2,12.99,1.67,30,139
2,11.96,1.09,21,101
2,11.66,1.88,16,97
2,13.03,0.9,16,86
2,11.84,2.89,18,112
2,12.33,0.99,14.8,136
2,12.7,3.87,23,101
2,12,0.92,19,86
2,12.72,1.81,18.8,86
2,12.08,1.13,24,78
2,13.05,3.86,22.5,85
2,11.84,0.89,18,94
2,12.67,0.98,18,99
2,12.16,1.61,22.8,90
2,11.65,1.67,26,88
2,11.64,2.06,21.6,84
2,12.08,1.33,23.6,70
2,12.08,1.83,18.5,81
2,12,1.51,22,86
2,12.69,1.53,20.7,80
2,12.29,2.83,18,88
2,11.62,1.99,18,98
2,12.47,1.52,19,162
2,11.81,2.12,21.5,134
2,12.29,1.41,16,85
2,12.37,1.07,18.5,88
2,12.29,3.17,18,88
2,12.08,2.08,17.5,97
2,12.6,1.34,18.5,88
2,12.34,2.45,21,98
2,11.82,1.72,19.5,86
2,12.51,1.73,20.5,85
2,12.42,2.55,22,90
2,12.25,1.73,19,80
2,12.72,1.75,22.5,84
2,12.22,1.29,19,92
2,11.61,1.35,20,94
2,11.46,3.74,19.5,107
2,12.52,2.43,21,88
2,11.76,2.68,20,103
2,11.41,0.74,21,88
2,12.08,1.39,22.5,84
2,11.03,1.51,21.5,85
2,11.82,1.47,20.8,86
2,12.42,1.61,22.5,108
2,12.77,3.43,16,80
2,12,3.43,19,87
2,11.45,2.4,20,96
2,11.56,2.05,28.5,119
2,12.42,4.43,26.5,102
2,13.05,5.8,21.5,86
2,11.87,4.31,21,82
2,12.07,2.16,21,85
2,12.43,1.53,21.5,86
2,11.79,2.13,28.5,92
2,12.37,1.63,24.5,88
2,12.04,4.3,22,80
3,12.86,1.35,18,122
3,12.88,2.99,20,104
3,12.81,2.31,24,98
3,12.7,3.55,21.5,106
3,12.51,1.24,17.5,85
3,12.6,2.46,18.5,94
3,12.25,4.72,21,89
3,12.53,5.51,25,96
3,13.49,3.59,19.5,88
3,12.84,2.96,24,101
3,12.93,2.81,21,96
3,13.36,2.56,20,89
3,13.52,3.17,23.5,97
3,13.62,4.95,20,92
3,12.25,3.88,18.5,112
3,13.16,3.57,21,102
3,13.88,5.04,20,80
3,12.87,4.61,21.5,86
3,13.32,3.24,21.5,92
3,13.08,3.9,21.5,113
3,13.5,3.12,24,123
3,12.79,2.67,22,112
3,13.11,1.9,25.5,116
3,13.23,3.3,18.5,98
3,12.58,1.29,20,103
3,13.17,5.19,22,93
3,13.84,4.12,19.5,89
3,12.45,3.03,27,97
3,14.34,1.68,25,98
3,13.48,1.67,22.5,89
3,12.36,3.83,21,88
3,13.69,3.26,20,107
3,12.85,3.27,22,106
3,12.96,3.45,18.5,106
3,13.78,2.76,22,90
3,13.73,4.36,22.5,88
3,13.45,3.7,23,111
3,12.82,3.37,19.5,88
3,13.58,2.58,24.5,105
3,13.4,4.6,25,112
3,12.2,3.03,19,96
3,12.77,2.39,19.5,86
3,14.16,2.51,20,91
3,13.71,5.65,20.5,95
3,13.4,3.91,23,102
3,13.27,4.28,20,120
3,13.17,2.59,20,120
3,14.13,4.1,24.5,96